,Name,Any_info,Genus,Species,Tested_for_Alkaloids,Ref_Alks,Alkaloids,Alkaloid_mainclass,Alkaloid_class,Alkaloid_class_notes,History_Antimalarial,Ref_H_Mal,History_Fever,Ref_H_Fever,Tested_Antimalarial,Extraction_Method,Type_of_Test,Activity_Antimalarial,Authors_Activity_Label,Positive_Control_Used,Given_Activities,Ref_Activity,General_notes,MPNS_Sources,Details,Cardenolides,Cardenolides_Ref,Steroids,Steroids_Ref,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
282,Spigelia spruceana,,Spigelia,spruceana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia spruceana,Spigelia spruceana,77155583-1,77155583-1,Species
283,Spigelia stenocardia,,Spigelia,stenocardia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia stenocardia,Spigelia stenocardia,77089479-1,77089479-1,Species
284,Spigelia stenophylla,,Spigelia,stenophylla,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia stenophylla,Spigelia stenophylla,547016-1,547016-1,Species
285,Spigelia tetraptera,,Spigelia,tetraptera,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia tetraptera,Spigelia tetraptera,242239-2,242239-2,Species
286,Spigelia texana,,Spigelia,texana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia texana,Spigelia texana,547019-1,547019-1,Species
287,Spigelia trispicata,,Spigelia,trispicata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia trispicata,Spigelia trispicata,319215-2,319215-2,Species
288,Spigelia valenzuelae,,Spigelia,valenzuelae,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia valenzuelae,Spigelia valenzuelae,242241-2,242241-2,Species
289,Spigelia vestita,,Spigelia,vestita,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia vestita,Spigelia vestita,242243-2,242243-2,Species
290,Spigelia xochiquetzalliana,,Spigelia,xochiquetzalliana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia xochiquetzalliana,Spigelia xochiquetzalliana,77162351-1,77162351-1,Species
291,Strychnos aculeata,,Strychnos,aculeata,Yes,76,"Isolated, U",MIA,MIA,,Yes,26,,,Yes,Extraction,Vitro,Inactive,Inactive [3],,"IC50 >30 μg/mL (EtOAc L), >30 μg/mL (EtOAc S)",3,,,,,,,,Loganiaceae,Strychnos aculeata,Strychnos aculeata,547024-1,547024-1,Species
292,Strychnos acuta,,Strychnos,acuta,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos acuta,Strychnos acuta,547027-1,547027-1,Species
293,Strychnos aenea,,Strychnos,aenea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos aenea,Strychnos aenea,547030-1,547030-1,Species
294,Strychnos afzelii,,Strychnos,afzelii,Yes,82,"Isolated, SB",bisindole; MIA,bisindole; MIA,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos afzelii,Strychnos afzelii,547031-1,547031-1,Species
295,Strychnos alvimiana,,Strychnos,alvimiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos alvimiana,Strychnos alvimiana,247277-2,247277-2,Species
296,Strychnos amazonica,,Strychnos,amazonica,Yes,68,"Isolated, SB",MIA,MIA,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos amazonica,Strychnos amazonica,247278-2,247278-2,Species
297,Strychnos andamanensis,,Strychnos,andamanensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos andamanensis,Strychnos andamanensis,547037-1,547037-1,Species
298,Strychnos angolensis,,Strychnos,angolensis,Yes,39,"Isolated, U",pyridine; MIA,pyridine; indole; indolizidine; quinolizidine,,,,,,Yes,Extraction,Vitro,Inactive,"Weak [3,37] Inactive [39]",Yes [37],"IC50 = 17.0 ± 7.6 μg/mL (EtOAc R) [3] IC50 = 29.9 & 20.9 μg/mL (Etoh L & R, FCA 20) [37] Inactive (3 alkaloids tested) [39]","3, 37, 39",,,,,,,,Loganiaceae,Strychnos angolensis,Strychnos angolensis,547038-1,547038-1,Species
299,Strychnos angustiflora,,Strychnos,angustiflora,Yes,"57, 92","Detected (TLC), L [57] Isolated, Se [92]",MIA,MIA; pyridine,MIA are angustine type and corynanthe type,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos angustiflora,Strychnos angustiflora,547039-1,547039-1,Species
300,Strychnos araguaensis,,Strychnos,araguaensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos araguaensis,Strychnos araguaensis,247279-2,247279-2,Species
301,Strychnos asperula,,Strychnos,asperula,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos asperula,Strychnos asperula,247280-2,247280-2,Species
302,Strychnos asterantha,,Strychnos,asterantha,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos asterantha,Strychnos asterantha,547045-1,547045-1,Species
303,Strychnos atlantica,,Strychnos,atlantica,Yes,64,"Isolated, R",MIA; bisindole,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos atlantica,Strychnos atlantica,247281-2,247281-2,Species
304,Strychnos axillaris,,Strychnos,axillaris,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos axillaris,Strychnos axillaris,547050-1,547050-1,Species
305,Strychnos bahiensis,,Strychnos,bahiensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos bahiensis,Strychnos bahiensis,247282-2,247282-2,Species
306,Strychnos barnhartiana,,Strychnos,barnhartiana,Yes,87,"Detected (U), L",indole,beta-carboline,nor-harman,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos barnhartiana,Strychnos barnhartiana,247283-2,247283-2,Species
307,Strychnos barteri,,Strychnos,barteri,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos barteri,Strychnos barteri,547059-1,547059-1,Species
308,Strychnos benthamii,,Strychnos,benthamii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos benthamii,Strychnos benthamii,547063-1,547063-1,Species
309,Strychnos bicolor,,Strychnos,bicolor,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos bicolor,Strychnos bicolor,547068-1,547068-1,Species
310,Strychnos bifurcata,,Strychnos,bifurcata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos bifurcata,Strychnos bifurcata,547069-1,547069-1,Species
311,Strychnos boonei,,Strychnos,boonei,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos boonei,Strychnos boonei,547073-1,547073-1,Species
312,Strychnos borneensis,,Strychnos,borneensis,Yes,57,"Detected (TLC), L",MIA,MIA; pyridine,MIA are angustine type,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos borneensis,Strychnos borneensis,547074-1,547074-1,Species
313,Strychnos brachiata,,Strychnos,brachiata,Yes,KN,"Isolated, U",MIA,MIA,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos brachiata,Strychnos brachiata,547077-1,547077-1,Species
314,Strychnos brachistantha,,Strychnos,brachistantha,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos brachistantha,Strychnos brachistantha,247287-2,247287-2,Species
315,Strychnos brasiliensis,,Strychnos,brasiliensis,Yes,"76, 85","Isolated, U [76] Isolated, TrB [85]",MIA,MIA,,Yes,101,,,Yes,Extraction,Vitro,Inactive,Inactive [3],,IC50 > 30 μg/mL (EtOAc S),3,,,,,,,,Loganiaceae,Strychnos brasiliensis,Strychnos brasiliensis,547081-1,547081-1,Species
316,Strychnos bredemeyeri,,Strychnos,bredemeyeri,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos bredemeyeri,Strychnos bredemeyeri,547083-1,547083-1,Species
317,Strychnos campicola,,Strychnos,campicola,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos campicola,Strychnos campicola,547093-1,547093-1,Species
318,Strychnos camptoneura,,Strychnos,camptoneura,Yes,55,Detected ,,,,Yes,102,Yes,102,Yes,Extraction,Vitro,Inactive,,Yes,"IC50 = ca. 50 μg/mL (EtOH R, FCA 20)",37,,,,,,,,Loganiaceae,Strychnos camptoneura,Strychnos camptoneura,547094-1,547094-1,Species
319,Strychnos canthioides,,Strychnos,canthioides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos canthioides,Strychnos canthioides,547096-1,547096-1,Species
320,Strychnos castelnaeana,,Strychnos,castelnaeana,Yes,48,"Isolated, SB",MIA,MIA,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos castelnaeana,Strychnos castelnaeana,547100-1,547100-1,Species
321,Strychnos cathayensis,,Strychnos,cathayensis,Yes,88,"Isolated, S",MIA,MIA,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos cathayensis,Strychnos cathayensis,547102-1,547102-1,Species
322,Strychnos cayennensis,,Strychnos,cayennensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos cayennensis,Strychnos cayennensis,247293-2,247293-2,Species
323,Strychnos cerradoensis,,Strychnos,cerradoensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos cerradoensis,Strychnos cerradoensis,247294-2,247294-2,Species
324,Strychnos chlorantha,,Strychnos,chlorantha,Yes,68,"Isolated, SB & RB",MIA,MIA,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos chlorantha,Strychnos chlorantha,547109-1,547109-1,Species
325,Strychnos chromatoxylon,,Strychnos,chromatoxylon,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos chromatoxylon,Strychnos chromatoxylon,547112-1,547112-1,Species
326,Strychnos chrysophylla,,Strychnos,chrysophylla,Yes,78,"Isolated, U",bisindole,bisindole,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos chrysophylla,Strychnos chrysophylla,547114-1,547114-1,Species
327,Strychnos cocculoides,,Strychnos,cocculoides,,,,,,,,,,,Yes,Extraction,Vitro,Inactive,Weak [3],,"IC50 = 20.0 ± 11.9 μg/mL (EtOAc L), >30 μg/mL (EtOAc S)",3,,,,,,,,Loganiaceae,Strychnos cocculoides,Strychnos cocculoides,547124-1,547124-1,Species
328,Strychnos cogens,,Strychnos,cogens,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos cogens,Strychnos cogens,547125-1,547125-1,Species
329,Strychnos colombiensis,,Strychnos,colombiensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos colombiensis,Strychnos colombiensis,247295-2,247295-2,Species
330,Strychnos congolana,,Strychnos,congolana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos congolana,Strychnos congolana,547134-1,547134-1,Species
331,Strychnos coriacea,,Strychnos,coriacea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos coriacea,Strychnos coriacea,547138-1,547138-1,Species
332,Strychnos croatii,,Strychnos,croatii,,,,,,,Yes,101,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos croatii,Strychnos croatii,247298-2,247298-2,Species
333,Strychnos cuminodora,,Strychnos,cuminodora,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos cuminodora,Strychnos cuminodora,547143-1,547143-1,Species
334,Strychnos cuniculina,,Strychnos,cuniculina,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos cuniculina,Strychnos cuniculina,547145-1,547145-1,Species
335,Strychnos curtisii,,Strychnos,curtisii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos curtisii,Strychnos curtisii,547147-1,547147-1,Species
336,Strychnos daclacensis,,Strychnos,daclacensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos daclacensis,Strychnos daclacensis,931165-1,931165-1,Species
337,Strychnos dale,,Strychnos,dale,Yes,"69,75","Isolated, L [69] Isolated, SB [75]",bisindole [69]; MIA [75],bisindole [69]; MIA [75],,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos dale,Strychnos dale,547149-1,547149-1,Species
338,Strychnos dalzellii,,Strychnos,dalzellii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos dalzellii,Strychnos dalzellii,547150-1,547150-1,Species
339,Strychnos dantaensis,,Strychnos,dantaensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos dantaensis,Strychnos dantaensis,77121342-1,77121342-1,Species
340,Strychnos darienensis,,Strychnos,darienensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos darienensis,Strychnos darienensis,547151-1,547151-1,Species
341,Strychnos davidsei,,Strychnos,davidsei,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos davidsei,Strychnos davidsei,247299-2,247299-2,Species
342,Strychnos decussata,,Strychnos,decussata,Yes,"61, 75","Isolated, L [61] Isolated, SB [75]",MIA [61]; MIA; bisindole [75],MIA glycoside [61]; MIA; bisindole [75],,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos decussata,Strychnos decussata,50426037-2,50426037-2,Species
343,Strychnos densiflora,,Strychnos,densiflora,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos densiflora,Strychnos densiflora,547156-1,547156-1,Species
344,Strychnos diaboli,,Strychnos,diaboli,Yes,68,"Isolated, B",MIA,MIA,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos diaboli,Strychnos diaboli,247300-2,247300-2,Species
345,Strychnos dinhensis,,Strychnos,dinhensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos dinhensis,Strychnos dinhensis,547160-1,547160-1,Species
346,Strychnos dinklagei,,Strychnos,dinklagei,Yes,"89, 90, 91","Isolated, SB [89] Isolated, L [90] Isolated, B [91]",MIA [89/90]; pyridine [90]; bisindole [91],MIA [89/90]; pyridine [90]; bisindole [91],,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos dinklagei,Strychnos dinklagei,547161-1,547161-1,Species
347,Strychnos diplotricha,,Strychnos,diplotricha,Yes,42,"Isolated, SB",MIA,MIA,,Yes,42,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos diplotricha,Strychnos diplotricha,547162-1,547162-1,Species
348,Strychnos divaricans,,Strychnos,divaricans,Yes,"68, 73","Isolated, SB [68] Isolated, U [73]",MIA [68]; bisindole [73],MIA [68]; bisindole [73],,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos divaricans,Strychnos divaricans,247301-2,247301-2,Species
349,Strychnos dolichothyrsa,,Strychnos,dolichothyrsa,Yes,54,Detected (alkaloidal fraction),,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos dolichothyrsa,Strychnos dolichothyrsa,547167-1,547167-1,Species
350,Strychnos duckei,,Strychnos,duckei,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos duckei,Strychnos duckei,247302-2,247302-2,Species
351,Strychnos ecuadoriensis,,Strychnos,ecuadoriensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos ecuadoriensis,Strychnos ecuadoriensis,247303-2,247303-2,Species
352,Strychnos elaeocarpa,,Strychnos,elaeocarpa,Yes,75,"Isolated, SB",MIA; bisindole,MIA; bisindole,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos elaeocarpa,Strychnos elaeocarpa,547178-1,547178-1,Species
353,Strychnos erichsonii,,Strychnos,erichsonii,Yes,49,"Isolated, SB",MIA,MIA,first vobasine-type alkaloid from Loganiaceae,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos erichsonii,Strychnos erichsonii,547183-1,547183-1,Species
354,Strychnos eugeniifolia,,Strychnos,eugeniifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos eugeniifolia,Strychnos eugeniifolia,247305-2,247305-2,Species
355,Strychnos fallax,,Strychnos,fallax,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos fallax,Strychnos fallax,547189-1,547189-1,Species
356,Strychnos fendleri,,Strychnos,fendleri,Yes,76,"Isolated, U",MIA,MIA,,Yes,101,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos fendleri,Strychnos fendleri,247306-2,247306-2,Species
357,Strychnos flavescens,,Strychnos,flavescens,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos flavescens,Strychnos flavescens,547193-1,547193-1,Species
358,Strychnos floribunda,,Strychnos,floribunda,Yes,57,"Detected (TLC), L",MIA,MIA; pyridine,MIA are angustine type,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos floribunda,Strychnos floribunda,547195-1,547195-1,Species
359,Strychnos froesii,,Strychnos,froesii,Yes,68,"Isolated, SB",MIA,MIA,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos froesii,Strychnos froesii,247307-2,247307-2,Species
360,Strychnos fulvotomentosa,,Strychnos,fulvotomentosa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos fulvotomentosa,Strychnos fulvotomentosa,247308-2,247308-2,Species
361,Strychnos gardneri,,Strychnos,gardneri,Yes,44,"Isolated, RB",unclear,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos gardneri,Strychnos gardneri,547200-1,547200-1,Species
362,Strychnos gerrardii,,Strychnos,gerrardii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos gerrardii,Strychnos gerrardii,547204-1,547204-1,Species
363,Strychnos glabra,,Strychnos,glabra,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos glabra,Strychnos glabra,547207-1,547207-1,Species
364,Strychnos gnetifolia,,Strychnos,gnetifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos gnetifolia,Strychnos gnetifolia,547209-1,547209-1,Species
365,Strychnos goiasensis,,Strychnos,goiasensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos goiasensis,Strychnos goiasensis,247311-2,247311-2,Species
366,Strychnos gossweileri,,Strychnos,gossweileri,Yes,37,"Isolated, RB [37] / Isolated, RB [62]",quinoline [37]; MIA [62],quinoline; quinolizidine [37] / MIA [62],,,,,,Yes,Extraction,Vitro,Inactive,Weak [3],Yes [37],"IC50 = 12.4 ± 4.1 μg/mL (EtOAc R), >30 μg/mL (MeOH R) [3] IC50 = 43.5 (EtOH R, FCA 20) [37]","3, 37",,,,,,,,Loganiaceae,Strychnos gossweileri,Strychnos gossweileri,547213-1,547213-1,Species
367,Strychnos grayi,,Strychnos,grayi,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos grayi,Strychnos grayi,547216-1,547216-1,Species
368,Strychnos gubleri,,Strychnos,gubleri,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos gubleri,Strychnos gubleri,547217-1,547217-1,Species
369,Strychnos guianensis,,Strychnos,guianensis,Yes,"KN, 37","Isolated, U [KN] Isolated, SB [37]",MIA [KN]; bisindole [KN/37],MIA [KN]; bisindole; quarternary; beta carboline [KN/37],,,,,,Yes,Isolation,Vitro,Inactive,,Yes,"IC50 =3.694 & 4.561μg/mL [5.9 & 7.3 μM] (guianensine, FCA 20 & W2)",37,,,,,,,,Loganiaceae,Strychnos guianensis,Strychnos guianensis,547220-1,547220-1,Species
370,Strychnos henningsii,,Strychnos,henningsii,Yes,37,"Isolated, RB",MIA,MIA; peptide,Icajine-type MIA,Yes,"3, 20, 23, 100, 107",,,Yes,Extraction,Vitro,Inactive,"Weak [3, 25]",Yes [25],"IC50 = 15.9 ± 3.0 μg/mL (EtOAc L), >30 μg/mL (EtOAc S) [3] 73.39 ± 9.75 μg/mL (Aqeuous, B, ENT 30) 67.16 ± 8.70 μg/mL (Aqeuous, B, NF 54) 190.0 ± 16.85 μg/mL (MeOH, B, ENT 30) 157.91 ± 10.03 μg/mL (MeOH, B, NF 54) [25]","3, 25",,,,,,,,Loganiaceae,Strychnos henningsii,Strychnos henningsii,547225-1,547225-1,Species
371,Strychnos hirsuta,,Strychnos,hirsuta,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos hirsuta,Strychnos hirsuta,547232-1,547232-1,Species
372,Strychnos icaja,,Strychnos,icaja,Yes,"37, 51","Isolated, RB & L [37] Isolated, R [51]",MIA; bisindole [37]; trisindole [51],Indole; MIA; Peptide; bisindole [37] trisindole [51],Interesting MIA structure with a large macrocycle (see icajine for example). One bisindole is linked by 8-membered ring (containing both indole N atoms) [51],Yes,3,,,Yes,"Extraction, Isolation",Vitro,Active [7],Active [7] Weak [17],"Yes [7, 10, 15, 16, 37]","IC50  = 0.69 μg/ml ± 0.25 (MeOH R, 3D7) 0.42 μg/ml ± 0.22 (MeOH R, W2) 0.84 ± 0.05 (CH2Cl2 R, 3D7) 0.61 ± 0.35 μg/ml (CH2Cl2 R, W2) [7] 0.617 μM [0.411 μg/mL](Strychnogucine B, FCA 20) 0.529 μM [0.353 μg/mL](Strychnogucine B, FCB1-R) 0.085 μM [0.057 μg/mL] (Strychnogucine B, W2) [10] 0.551 μg/mL (18-hydroxyisosungucine, R, FCA 20) 0.091 μg/mL (18-hydroxyisosungucine, R, W2) [15] 0.41 μg/mL (strychnogucine B, R, FCA 20) 6.428 μg/mL (strychnogucine B, R, W2) 0.34 μg/mL (strychnogucine B, R, F32) 0.13 μg/mL (strychnogucine B, R, PFB) [16] ""moderately active"" (Strychnohexamine, R) [17] IC50 = 0.286 & 0.303 μg/mL (EtOAc R, FCA 20 & W2) [37]","7, 10, 15, 16, 17, 37",,,,,,,,Loganiaceae,Strychnos icaja,Strychnos icaja,547240-1,547240-1,Species
373,Strychnos ignatii,,Strychnos,ignatii,Yes,47,"Isolated, SB",MIA,MIA,,,,,,Yes,Extraction,Vitro,Inactive,Inactive [3],,IC50 = >30 μg/mL (EtOAc Se),3,,,,,,,,Loganiaceae,Strychnos ignatii,Strychnos ignatii,547242-1,547242-1,Species
374,Strychnos innocua,,Strychnos,innocua,,,,,,,Yes,43,,,Yes,Extraction,Vitro,Inactive,"Inactive [3, 37]",Yes [37],IC50 = >30 μg/mL (EtOAc S) [3] IC50 > 40 μg/mL [37],"3, 37",,,,,,,,Loganiaceae,Strychnos innocua,Strychnos innocua,547244-1,547244-1,Species
375,Strychnos jacarepiensis,,Strychnos,jacarepiensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos jacarepiensis,Strychnos jacarepiensis,77112473-1,77112473-1,Species
376,Strychnos javariensis,,Strychnos,javariensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos javariensis,Strychnos javariensis,247314-2,247314-2,Species
377,Strychnos jobertiana,,Strychnos,jobertiana,Yes,68,"Isolated, SB & RB",MIA,MIA,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos jobertiana,Strychnos jobertiana,547247-1,547247-1,Species
378,Strychnos johnsonii,,Strychnos,johnsonii,Yes,39,"Isolated, U",MIA; bisindole,MIA; bisindole,,,,,,Yes,"Extraction, Isolation",Vitro,Inactive,"Weak [3, 39]",,"IC50 = >30 μg/mL (EtOAc L), 16.4 ± 1.8 μg/mL (EtOAc S) ,>30 μg/mL (EtOAc R) [3] IC50 = 5.70 & 7.7 & 2.15 [12.6 & 17.0 & 4.75 μM] (janussine B, FCA 20 & FCB1-R & W2) [39]","3, 39",,,,,,,,Loganiaceae,Strychnos johnsonii,Strychnos johnsonii,547248-1,547248-1,Species
379,Strychnos kasengaensis,,Strychnos,kasengaensis,Yes,"39, 72","Isolated, U [39] Isolated, RB & SB & L [72]",MIA; bisindole,MIA; bisindole,,,,,,Yes,Isolation,Vitro,Inactive,Weak [39],,"IC50 = 2.81 & 1.3 & 2.03 μg/mL [4.58 & 2.12 & 3.31 μM](16,17-dehydroisostrychnobiline, FCA 20 & FCB1-R & W2)",39,,,,,,,,Loganiaceae,Strychnos kasengaensis,Strychnos kasengaensis,547252-1,547252-1,Species
380,Strychnos krukoffiana,,Strychnos,krukoffiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos krukoffiana,Strychnos krukoffiana,247316-2,247316-2,Species
381,Strychnos lanata,,Strychnos,lanata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos lanata,Strychnos lanata,547261-1,547261-1,Species
382,Strychnos ledermannii,,Strychnos,ledermannii,Yes,"57, 83","Detected (TLC), L & Fr [57] Isolated, L & S [83]",MIA,MIA; pyridine,MIA are angustine type,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos ledermannii,Strychnos ledermannii,547271-1,547271-1,Species
383,Strychnos leenhoutsii,,Strychnos,leenhoutsii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos leenhoutsii,Strychnos leenhoutsii,547272-1,547272-1,Species
384,Strychnos lobelioides,,Strychnos,lobelioides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos lobelioides,Strychnos lobelioides,247318-2,247318-2,Species
385,Strychnos longicaudata,,Strychnos,longicaudata,Yes,39,"Isolated, U",Pyridine; MIA; bisindole,pyridine; indole; MIA; indolizidine; bisindole,,,,,,Yes,Isolation,Vitro,Active [39],Inactive [37] Active [39],Yes [37],"IC50 > 50 μg/mL (EtOH R, FCA 20 [37] IC50 = 0.56 & 0.32 & 0.32 [ 0.986 & 0.560 & 0.569 μM] (longicaudatine, FCA 20 & FCB1-R & W2) [39]","37, 39",,,,,,,,Loganiaceae,Strychnos longicaudata,Strychnos longicaudata,60452498-2,60452498-2,Species
386,Strychnos lucens,,Strychnos,lucens,Yes,39,"Isolated, U",MIA,MIA,,,,,,Yes,Extraction,Vitro,Inactive,Inactive [3],,IC50 = >30 μg/mL (EtOAc L),3,,,,,,,,Loganiaceae,Strychnos lucens,Strychnos lucens,547293-1,547293-1,Species
387,Strychnos lucida,,Strychnos,lucida,Yes,"KN, 40","Isolated, U [KN] Detected (GC-MS), W [40]",MIA,MIA,,Yes,"22, 94",,,Yes,Fraction,Vitro,Active [40],"Active [22, 40]",,">80% Inhibition at 1000 μg/mL (W) [22] IC50 = 0.39 μg/mL (fraction F4 W, 3D7) [40]","22, 40 ",,,,,,,,Loganiaceae,Strychnos lucida,Strychnos lucida,547295-1,547295-1,Species
388,Strychnos luzonensis,,Strychnos,luzonensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos luzonensis,Strychnos luzonensis,547296-1,547296-1,Species
389,Strychnos madagascariensis,,Strychnos,madagascariensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos madagascariensis,Strychnos madagascariensis,547300-1,547300-1,Species
390,Strychnos maingayi,,Strychnos,maingayi,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Strychnos maingayi,Strychnos maingayi,547301-1,547301-1,Species
391,Strychnos malacoclados,,Strychnos,malacoclados,Yes,41,"Isolated, SB",bisindole; MIA,bisindole; MIA,,,,,,Yes,Isolation,Vitro,Active,Active [41],Yes,"IC50 = 0.388 & 0.326 μg/mL [0.68 & 0.57 μM] (longicaudatine Y, 3D7 & W2)",41,,,,,,,,Loganiaceae,Strychnos malacoclados,Strychnos malacoclados,547303-1,547303-1,Species
