,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,Sources,powo_Snippet
3942,396972-1,Cymbopogon nardus,Cymbopogon nardus,396972-1,Species,:LITTOX:::CPCS::USDA(Duke):::,
3943,405583-1,Hyparrhenia rufa,Hyparrhenia rufa,405583-1,Species,:LITTOX::::::::,
3944,397010-1,Cymbopogon schoenanthus,Cymbopogon schoenanthus,397010-1,Species,:LITTOX::::::::,
3945,420965-1,Schizachyrium tenerum,Schizachyrium tenerum,420965-1,Species,:LITTOX::::::::,
3946,388740-1,Andropogon virginicus,Andropogon virginicus,388740-1,Species,:LITTOX::::::::,
3947,60437104-2,Androsace,,,Genus,:LITTOX::::::::,
3948,7628-1,Andryala,,,Genus,:LITTOX::::::::,
3949,176642-1,Andryala integrifolia,Andryala integrifolia,176642-1,Species,:LITTOX::::::::,
3950,176664-1,Andryala pinnatifida,Andryala pinnatifida,176664-1,Species,:LITTOX::::::::,
3951,176666-1,Andryala ragusina,Andryala ragusina,176666-1,Species,:LITTOX::::::::,
3952,1202412-2,Anemia phyllitidis,Anemia phyllitidis,1202412-2,Species,:LITTOX::::::::,
3953,17021100-1,Anemia rotundifolia,Anemia rotundifolia,17021100-1,Species,:LITTOX::::::::,
3954,330847-2,Anemone,,,Genus,:LITTOX:::CPCS:UCANR::::,
3955,77068335-1,Anemonoides baldensis,Anemonoides baldensis,77068335-1,Species,:LITTOX::::::TPPT::,
3956,708741-1,Anemonoides blanda,Anemonoides blanda,708741-1,Species,:LITTOX::::::::,
3957,708739-1,Anemonoides apennina,Anemonoides apennina,708739-1,Species,:LITTOX::::::::,
3958,30319536-2,Anemone caroliniana,Anemone caroliniana,30319536-2,Species,:LITTOX::::::::,
3959,711959-1,Pulsatilla cernua,Pulsatilla cernua,711959-1,Species,:LITTOX:en_wiki:::::::,
3960,708314-1,Anemone coronaria,Anemone coronaria,708314-1,Species,:LITTOX::::::::,
3961,708323-1,Anemone cylindrica,Anemone cylindrica,708323-1,Species,:LITTOX::::::::,
3962,77233338-1,Anemonastrum obtusilobum subsp. obtusilobum,Anemonastrum obtusilobum,60476974-2,Subspecies,:LITTOX::::::::,
3963,60476962-2,Anemonastrum flaccidum,Anemonastrum flaccidum,60476962-2,Species,:LITTOX::::::::,
3964,708191-1,Anemonastrum polyanthes,Anemonastrum polyanthes,708191-1,Species,:LITTOX::::::::,
3965,711404-1,Hepatica nobilis,Hepatica nobilis,711404-1,Species,:LITTOX::::::TPPT::,
3966,708415-1,Anemone hortensis,Anemone hortensis,708415-1,Species,:LITTOX::::::::,
3967,77184471-1,Eriocapitella hupehensis,Eriocapitella hupehensis,77184471-1,Species,:LITTOX::::::::,
3968,330852-2,Anemone multifida,Anemone multifida,330852-2,Species,:LITTOX::::::::,
3969,13387-2,Anemonastrum narcissiflorum,Anemonastrum narcissiflorum,13387-2,Species,:LITTOX::::::TPPT::,
3970,708736-1,Anemonoides altaica,Anemonoides altaica,708736-1,Species,:LITTOX:en_wiki:fr_wiki:::::::,
3971,1218474-2,Pulsatilla nuttalliana,Pulsatilla nuttalliana,1218474-2,Species,:LITTOX:::CPCS:::::,
3972,214466-2,Pulsatilla occidentalis,Pulsatilla occidentalis,214466-2,Species,:LITTOX::::::::,
3973,77226481-1,Pulsatilla halleri subsp. halleri,Pulsatilla halleri,711980-1,Subspecies,:LITTOX:::CPCS:::::,
3974,30094592-2,Pulsatilla patens,Pulsatilla patens,30094592-2,Species,:LITTOX::::::::,
3975,712012-1,Pulsatilla montana,Pulsatilla montana,712012-1,Species,:LITTOX:fr_wiki::::USDA(Duke):TPPT::,
3976,712035-1,Pulsatilla pratensis,Pulsatilla pratensis,712035-1,Species,:LITTOX::::::::,
3977,13540-2,Anemonoides quinquefolia,Anemonoides quinquefolia,13540-2,Species,:LITTOX::::::::,
3978,60473588-2,Anemonastrum richardsonii,Anemonastrum richardsonii,60473588-2,Species,:LITTOX::::::::,
3979,708677-1,Anemone thomsonii,Anemone thomsonii,708677-1,Species,:LITTOX::::::::,
3980,711510-1,Knowltonia transvaalensis,Knowltonia transvaalensis,711510-1,Species,:LITTOX::::::::,
3981,708769-1,Anemonoides reflexa,Anemonoides reflexa,708769-1,Species,:LITTOX::::::::,
3982,712075-1,Pulsatilla vernalis,Pulsatilla vernalis,712075-1,Species,:LITTOX::::::TPPT::,
3983,708711-1,Anemone virginiana,Anemone virginiana,708711-1,Species,:LITTOX::::::::,
3984,77184419-1,Eriocapitella × hybrida,Eriocapitella × hybrida,77184419-1,Species,:LITTOX::::::::,
3985,13545-2,Anemopaegma arvense,Anemopaegma arvense,13545-2,Species,:LITTOX::::::::,
3986,13551-2,Anemopaegma chamberlaynii,Anemopaegma chamberlaynii,13551-2,Species,:LITTOX::::::::,
3987,39656-1,Anethum,,,Genus,:LITTOX::::::::,
3988,840330-1,Chamarea capensis,Chamarea capensis,840330-1,Species,:LITTOX::::::::,
3989,837530-1,Anethum graveolens,Anethum graveolens,837530-1,Species,:LITTOX:::::USDA(Duke):TPPT::,
3990,2201-1,Angadenia,,,Genus,:LITTOX::::::::,
3991,77012-1,Angadenia berteroi,Angadenia berteroi,77012-1,Species,:LITTOX::::::::,
3992,39657-1,Angelica,,,Genus,:LITTOX::::::::,
3993,837548-1,Angelica acutiloba,Angelica acutiloba,837548-1,Species,:LITTOX::::::::,
3994,77228542-1,Angelica acutiloba var. acutiloba,Angelica acutiloba,837548-1,Variety,:LITTOX::::::::,
3995,837560-1,Angelica archangelica,Angelica archangelica,837560-1,Species,:LITTOX:hu_wiki::CPCS::USDA(Duke):TPPT:CliniTox:,
3996,77228879-1,Angelica archangelica subsp. archangelica,Angelica archangelica,837560-1,Subspecies,:LITTOX:::::::CliniTox:,
3997,837563-1,Angelica atropurpurea,Angelica atropurpurea,837563-1,Species,:LITTOX::::::::,
3998,13646-2,Angelica breweri,Angelica breweri,13646-2,Species,:LITTOX::::::::,
3999,837793-1,Angelica triquinata,Angelica triquinata,837793-1,Species,:LITTOX::::::::,
4000,60451989-2,Angelica dahurica,Angelica dahurica,60451989-2,Species,:LITTOX::::::::,
4001,837599-1,Angelica decursiva,Angelica decursiva,837599-1,Species,:LITTOX::::::::,
4002,837612-1,Angelica edulis,Angelica edulis,837612-1,Species,:LITTOX::::::::,
4003,837628-1,Angelica genuflexa,Angelica genuflexa,837628-1,Species,:LITTOX::::::::,
4004,837629-1,Angelica gigas,Angelica gigas,837629-1,Species,:LITTOX::::::::,
4005,77228670-1,Angelica dahurica var. dahurica,Angelica dahurica,60451989-2,Variety,:LITTOX::::::::,
4006,837632-1,Angelica glauca,Angelica glauca,837632-1,Species,:LITTOX::::::::,
4007,13653-2,Angelica hendersonii,Angelica hendersonii,13653-2,Species,:LITTOX::::::::,
4008,837659-1,Angelica japonica,Angelica japonica,837659-1,Species,:LITTOX::::::::,
4009,837661-1,Angelica keiskei,Angelica keiskei,837661-1,Species,:LITTOX::::::::,
4010,845576-1,Ostericum grosseserratum,Ostericum grosseserratum,845576-1,Species,:LITTOX::::::::,
4011,844187-1,Levisticum officinale,Levisticum officinale,844187-1,Species,:LITTOX::::::TPPT::,
4012,837683-1,Angelica longeradiata,Angelica longeradiata,837683-1,Species,:LITTOX::::::::,
4013,837684-1,Angelica lucida,Angelica lucida,837684-1,Species,:LITTOX::::::::,
4014,77228298-1,Angelica sylvestris subsp. sylvestris,Angelica sylvestris,837777-1,Subspecies,:LITTOX::::::::,
4015,845584-1,Ostericum sieboldii,Ostericum sieboldii,845584-1,Species,:LITTOX::::::::,
4016,837735-1,Angelica polymorpha,Angelica polymorpha,837735-1,Species,:LITTOX::::::::,
4017,77065778-1,Angelica sinensis,Angelica sinensis,77065778-1,Species,:LITTOX::::::::,
4018,837743-1,Angelica pubescens,Angelica pubescens,837743-1,Species,:LITTOX::::::::,
4019,847958-1,Scandia rosifolia,Scandia rosifolia,847958-1,Species,:LITTOX::::::::,
4020,837777-1,Angelica sylvestris,Angelica sylvestris,837777-1,Species,:LITTOX::::::TPPT:CliniTox:,
4021,50426586-2,Conioselinum tenuissimum,Conioselinum tenuissimum,50426586-2,Species,:LITTOX::::::::,
4022,837786-1,Angelica tomentosa,Angelica tomentosa,837786-1,Species,:LITTOX::::::::,
4023,13671-2,Angelica venenosa,Angelica venenosa,13671-2,Species,:LITTOX::::::::,
4024,1019343-1,Orbea dummeri,Orbea dummeri,1019343-1,Species,:LITTOX::::::::,
4025,27409-1,Angophora,,,Genus,:LITTOX::::::::,
4026,590645-1,Angophora hispida,Angophora hispida,590645-1,Species,:LITTOX::::::::,
4027,24908-1,Wurmbea,,,Genus,:LITTOX::::::::,
4028,543572-1,Wurmbea dioica,Wurmbea dioica,543572-1,Species,:LITTOX::::::::,
4029,21662-1,Angylocalyx,,,Genus,:LITTOX::::::::,
4030,30015371-2,Ariocarpus,,,Genus,:LITTOX::::::::,
4031,30012259-2,Aniba,,,Genus,:LITTOX::::::::,
4032,13880-2,Aniba rosodora,Aniba rosodora,13880-2,Species,:LITTOX::::::::,
4033,13841-2,Aniba hostmanniana,Aniba hostmanniana,13841-2,Species,:LITTOX::::::::,
4034,13855-2,Aniba megaphylla,Aniba megaphylla,13855-2,Species,:LITTOX::::::::,
4035,19442-1,Anigozanthos,,,Genus,:LITTOX::::::::,
4036,785765-1,Aningeria pierrei,Aningeria pierrei,785765-1,Species,:LITTOX::::::::,
4037,30026487-2,Aniseia,,,Genus,:LITTOX::::::::,
4038,30070865-2,Aniseia martinicensis,Aniseia martinicensis,30070865-2,Species,:LITTOX::::::::,
4039,20765-1,Coleus,,,Genus,:LITTOX::::::::,
4040,77201307-1,Coleus strobilifer,Coleus strobilifer,77201307-1,Species,:LITTOX::::::::,
4041,26874-1,Anisocycla,,,Genus,:LITTOX::::::::,
4042,580154-1,Anisocycla grandidieri,Anisocycla grandidieri,580154-1,Species,:LITTOX::::::::,
4043,816722-1,Mandragora caulescens,Mandragora caulescens,816722-1,Species,:LITTOX::::::::,
4044,814269-1,Anisodus tanguticus,Anisodus tanguticus,814269-1,Species,:LITTOX:::::USDA(Duke):::,
4045,676185-1,Anisomeria coriacea,Anisomeria coriacea,676185-1,Species,:LITTOX::::::::,
4046,327708-2,Croton,,,Genus,:LITTOX::::::::,
4047,319109-2,Bignonia capreolata,Bignonia capreolata,319109-2,Species,:LITTOX::::::::,
4048,331350-2,Anisotes,,,Genus,:LITTOX::::::::,
4049,45344-1,Anisotes sessiliflorus,Anisotes sessiliflorus,45344-1,Species,:LITTOX::::::::,
4050,30043322-2,Pimpinella,,,Genus,:LITTOX::::::TPPT::,
4051,846658-1,Pimpinella anisum,Pimpinella anisum,846658-1,Species,:LITTOX:::::USDA(Duke):::,
4052,1966-1,Annona,,,Genus,:LITTOX::::::::,
4053,72148-1,Annona ambotay,Annona ambotay,72148-1,Species,:LITTOX::::::::,
4054,72165-1,Annona bullata,Annona bullata,72165-1,Species,:LITTOX::::::::,
4055,77061-1,Anodendron affine,Anodendron affine,77061-1,Species,:LITTOX::::::::,
4056,7215-1,Terminalia,,,Genus,:LITTOX::::::::,
4057,77164579-1,Terminalia phillyreifolia,Terminalia phillyreifolia,77164579-1,Species,:LITTOX::::::::,
4058,77164537-1,Terminalia anogeissiana,Terminalia anogeissiana,77164537-1,Species,:LITTOX:::::USDA(Duke):::,
4059,36945-1,Anopterus,,,Genus,:LITTOX::::::::,
4060,790212-1,Anopterus glandulosus,Anopterus glandulosus,790212-1,Species,:LITTOX::::::::,
4061,790213-1,Anopterus macleayanus,Anopterus macleayanus,790213-1,Species,:LITTOX::::::::,
4062,14549-2,Anredera cordifolia,Anredera cordifolia,14549-2,Species,:LITTOX::::::::,
4063,331352-2,Antennaria,,,Genus,:LITTOX::::::::,
4064,52783-1,Oplonia spinosa,Oplonia spinosa,52783-1,Species,:LITTOX::::::::,
4065,198404-1,Cota segetalis,Cota segetalis,198404-1,Species,:LITTOX::::::::,
4066,177158-1,Anthemis arvensis,Anthemis arvensis,177158-1,Species,:LITTOX::::::::,
4067,177563-1,Anthemis retusa,Anthemis retusa,177563-1,Species,:LITTOX::::::::,
4068,177224-1,Anthemis chia,Anthemis chia,177224-1,Species,:LITTOX::::::::,
4069,1186403-2,Eclipta prostrata,Eclipta prostrata,1186403-2,Species,:LITTOX::::::::,
4070,177270-1,Anthemis cupaniana,Anthemis cupaniana,177270-1,Species,:LITTOX::::::::,
4071,177481-1,Anthemis odontostephana,Anthemis odontostephana,177481-1,Species,:LITTOX::::::::,
4072,198376-1,Cota austriaca,Cota austriaca,198376-1,Species,:LITTOX::::::::,
4073,192489-1,Chamaemelum nobile,Chamaemelum nobile,192489-1,Species,:LITTOX::::UCANR::::,
4074,198407-1,Cota tinctoria,Cota tinctoria,198407-1,Species,:LITTOX::::::::,
4075,30176660-2,Anthephora,,,Genus,:LITTOX::::::::,
4076,30006823-2,Anthericum,,,Genus,:LITTOX::::::::,
4077,530479-1,Anthericum liliago,Anthericum liliago,530479-1,Species,:LITTOX::::::::,
4078,530637-1,Anthericum ramosum,Anthericum ramosum,530637-1,Species,:LITTOX::::::::,
4079,542429-1,Trachyandra saltii,Trachyandra saltii,542429-1,Species,:LITTOX::::::::,
4080,914296-1,Neolamarckia cadamba,Neolamarckia cadamba,914296-1,Species,:LITTOX::::::::,
4081,38269-1,Anthocercis,,,Genus,:LITTOX::::::::,
4082,815420-1,Cyphanthera albicans,Cyphanthera albicans,815420-1,Species,:LITTOX::::::::,
4083,814280-1,Anthocercis fasciculata,Anthocercis fasciculata,814280-1,Species,:LITTOX::::::::,
4084,814290-1,Anthocercis littorea,Anthocercis littorea,814290-1,Species,:LITTOX::::::::,
4085,814300-1,Anthocercis viscosa,Anthocercis viscosa,814300-1,Species,:LITTOX::::::::,
4086,545605-1,Anthocleista djalonensis,Anthocleista djalonensis,545605-1,Species,:LITTOX::::::::,
4087,545651-1,Anthocleista vogelii,Anthocleista vogelii,545651-1,Species,:LITTOX::::::::,
4088,15032-1,Anthostema,,,Genus,:LITTOX::::::::,
4089,17483-1,Anthoxanthum,,,Genus,:LITTOX::::::::,
4090,388999-1,Anthoxanthum aristatum,Anthoxanthum aristatum,388999-1,Species,:LITTOX::::::::,
4091,914834-1,Anthoxanthum nitens,Anthoxanthum nitens,914834-1,Species,:LITTOX::::::TPPT::,
4092,331353-2,Anthriscus,,,Genus,:LITTOX::::::::,
4093,837913-1,Anthriscus cerefolium,Anthriscus cerefolium,837913-1,Species,:LITTOX::::::TPPT::,
4094,837943-1,Anthriscus nemorosa,Anthriscus nemorosa,837943-1,Species,:LITTOX::::::::,
4095,77228860-1,Anthriscus sylvestris subsp. sylvestris,Anthriscus sylvestris,837969-1,Subspecies,:LITTOX::::::::,
4096,329747-2,Anthurium,,,Genus,:LITTOX:en_wiki::CPCS:UCANR::::,
4097,329747-2,Anthurium,,,Genus,:LITTOX:fr_wiki::CPCS:UCANR::::,
4098,1148183-2,Anthurium acaule,Anthurium acaule,1148183-2,Species,:LITTOX::::::::,
4099,15062-2,Anthurium acutum,Anthurium acutum,15062-2,Species,:LITTOX::::::::,
4100,15091-2,Anthurium angustispadix,Anthurium angustispadix,15091-2,Species,:LITTOX::::::::,
4101,84582-1,Anthurium bakeri,Anthurium bakeri,84582-1,Species,:LITTOX::::::::,
4102,84589-1,Anthurium bellum,Anthurium bellum,84589-1,Species,:LITTOX::::::::,
4103,15133-2,Anthurium brenesii,Anthurium brenesii,15133-2,Species,:LITTOX::::::::,
4104,15167-2,Anthurium cerrobaulense,Anthurium cerrobaulense,15167-2,Species,:LITTOX::::::::,
4105,84666-1,Anthurium clavigerum,Anthurium clavigerum,84666-1,Species,:LITTOX::::::::,
4106,84691-1,Anthurium cordatum,Anthurium cordatum,84691-1,Species,:LITTOX::::::::,
4107,84858-1,Anthurium grandifolium,Anthurium grandifolium,84858-1,Species,:LITTOX::::::::,
4108,84700-1,Anthurium coriaceum,Anthurium coriaceum,84700-1,Species,:LITTOX::::::::,
4109,84713-1,Anthurium crystallinum,Anthurium crystallinum,84713-1,Species,:LITTOX::::::::,
4110,15222-2,Anthurium cubense,Anthurium cubense,15222-2,Species,:LITTOX::::::::,
4111,15268-2,Anthurium erskinei,Anthurium erskinei,15268-2,Species,:LITTOX::::::::,
4112,84893-1,Anthurium hookeri,Anthurium hookeri,84893-1,Species,:LITTOX::::::::,
4113,85054-1,Anthurium magnificum,Anthurium magnificum,85054-1,Species,:LITTOX::::::::,
4114,272336-2,Anthurium oxycarpum,Anthurium oxycarpum,272336-2,Species,:LITTOX::::::::,
4115,85201-1,Anthurium pentaphyllum,Anthurium pentaphyllum,85201-1,Species,:LITTOX::::::::,
4116,85333-1,Anthurium scandens,Anthurium scandens,85333-1,Species,:LITTOX::::::::,
4117,85334-1,Anthurium scherzerianum,Anthurium scherzerianum,85334-1,Species,:LITTOX::::::::,
4118,85360-1,Anthurium solitarium,Anthurium solitarium,85360-1,Species,:LITTOX::::::::,
4119,85501-1,Anthurium willdenowii,Anthurium willdenowii,85501-1,Species,:LITTOX::::::::,
4120,21681-1,Anthyllis,,,Genus,:LITTOX::::::::,
4121,474795-1,Anthyllis vulneraria,Anthyllis vulneraria,474795-1,Species,:LITTOX::::::::,
4122,331354-2,Antiaris,,,Genus,:LITTOX::::::::,
4123,886819-1,Antiaris toxicaria subsp. macrophylla,Antiaris toxicaria,850341-1,Subspecies,:LITTOX::::::::,
4124,77228277-1,Antiaris toxicaria subsp. toxicaria,Antiaris toxicaria,850341-1,Subspecies,:LITTOX::::::::,
4125,886818-1,Antiaris toxicaria subsp. humbertii,Antiaris toxicaria,850341-1,Subspecies,:LITTOX::::::::,
4126,886820-1,Antiaris toxicaria subsp. madagascariensis,Antiaris toxicaria,850341-1,Subspecies,:LITTOX::::::::,
4127,886822-1,Antiaris toxicaria subsp. welwitschii,Antiaris toxicaria,850341-1,Subspecies,:LITTOX::::::::,
4128,886821-1,Antiaris toxicaria var. usambarensis,Antiaris toxicaria,850341-1,Variety,:LITTOX::::::::,
4129,40709-1,Antiaropsis,,,Genus,:LITTOX::::::::,
4130,23997-1,Anticlea,,,Genus,:LITTOX::::::::,
4131,77147333-1,Anticlea elegans subsp. vaginata,Anticlea elegans,15844-2,Subspecies,:LITTOX::::::::,
4132,15851-2,Anticlea virescens,Anticlea virescens,15851-2,Species,:LITTOX::::::::,
4133,339150-1,Antidesma venenosum,Antidesma venenosum,339150-1,Species,:LITTOX::::::::,
4134,32422-1,Antigonon,,,Genus,:LITTOX::::::::,
4135,15860-2,Antigonon leptopus,Antigonon leptopus,15860-2,Species,:LITTOX::::::::,
4136,327846-2,Antirhea,,,Genus,:LITTOX::::::::,
4137,37430-1,Antirrhinum,,,Genus,:LITTOX::::::::,
4138,799180-1,Antirrhinum majus,Antirrhinum majus,799180-1,Species,:LITTOX::::::::,
4139,102785-1,Vincetoxicum funebre,Vincetoxicum funebre,102785-1,Species,:LITTOX::::::::,
4140,545655-1,Antonia ovata,Antonia ovata,545655-1,Species,:LITTOX::::::::,
4141,85518-1,Anubias afzelii,Anubias afzelii,85518-1,Species,:LITTOX::::::::,
4142,21684-1,Aotus,,,Genus,:LITTOX::::::::,
4143,474821-1,Aotus phylicoides,Aotus phylicoides,474821-1,Species,:LITTOX::::::::,
4144,177731-1,Apalochlamys spectabilis,Apalochlamys spectabilis,177731-1,Species,:LITTOX::::::::,
4145,3169-1,Thottea,,,Genus,:LITTOX::::::::,
4146,909771-1,Thottea siliquosa,Thottea siliquosa,909771-1,Species,:LITTOX::::::::,
4147,909773-1,Thottea tomentosa,Thottea tomentosa,909773-1,Species,:LITTOX::::::::,
4148,833270-1,Apeiba tibourbou,Apeiba tibourbou,833270-1,Species,:LITTOX::::::::,
4149,790237-1,Aphanopetalum resinosum,Aphanopetalum resinosum,790237-1,Species,:LITTOX::::::::,
4150,30000831-2,Aphelandra,,,Genus,:LITTOX::::::::,
4151,315544-2,Aphelandra squarrosa,Aphelandra squarrosa,315544-2,Species,:LITTOX::::::::,
4152,111447-1,Aphloia theiformis,Aphloia theiformis,111447-1,Species,:LITTOX::::::::,
4153,77232912-1,Aphyllocladus denticulatus var. denticulatus,Aphyllocladus denticulatus,16337-2,Variety,:LITTOX::::::::,
4154,30248438-2,Apiastrum angustifolium,Apiastrum angustifolium,30248438-2,Species,:LITTOX::::::::,
4155,30141320-2,Apios americana,Apios americana,30141320-2,Species,:LITTOX::::::::,
4156,39683-1,Apium,,,Genus,:LITTOX::::::::,
4157,838027-1,Apium australe,Apium australe,838027-1,Species,:LITTOX::::::::,
4158,839677-1,Carum carvi,Carum carvi,839677-1,Species,:LITTOX:::::USDA(Duke):TPPT::,
4159,840899-1,Cyclospermum leptophyllum,Cyclospermum leptophyllum,840899-1,Species,:LITTOX::::::::,
4160,842893-1,Helosciadium nodiflorum,Helosciadium nodiflorum,842893-1,Species,:LITTOX::::::::,
4161,77230977-1,Petroselinum crispum subsp. crispum,Petroselinum crispum,60442790-2,Subspecies,:LITTOX::::::::,
4162,838116-1,Apium prostratum,Apium prostratum,838116-1,Species,:LITTOX::::::::,
4163,77210782-1,Dolomiaea costus,Dolomiaea costus,77210782-1,Species,:LITTOX::::::::,
4164,2211-1,Apocynum,,,Genus,:LITTOX::Cornell CALS::::::,
4165,16576-2,Apocynum × floribundum,Apocynum × floribundum,16576-2,Species,:LITTOX::::::::,
4166,16514-2,Apocynum androsaemifolium subsp. pumilum,Apocynum androsaemifolium,16503-2,Subspecies,:LITTOX::::::::,
4167,77279-1,Apocynum venetum,Apocynum venetum,77279-1,Species,:LITTOX::::::::,
4168,77184002-1,Capparis anomala,Capparis anomala,77184002-1,Species,:LITTOX::::::::,
4169,5203-1,Aporocactus,,,Genus,:LITTOX::::::::,
4170,16735-2,Aporocactus martianus,Aporocactus martianus,16735-2,Species,:LITTOX::::::::,
4171,128832-1,Aporocactus flagelliformis,Aporocactus flagelliformis,128832-1,Species,:LITTOX::::::::,
4172,7688-1,Aposeris,,,Genus,:LITTOX::::::::,
4173,322566-2,Mesembryanthemum cordifolium,Mesembryanthemum cordifolium,322566-2,Species,:LITTOX::::::::,
4174,16766-2,Apuleia leiocarpa,Apuleia leiocarpa,16766-2,Species,:LITTOX::::::::,
4175,830835-1,Aquilaria malaccensis,Aquilaria malaccensis,830835-1,Species,:LITTOX::::::::,
4176,325954-2,Aquilegia,,,Genus,:LITTOX:en_wiki:::UCANR::::,
4177,708802-1,Aquilegia atrata,Aquilegia atrata,708802-1,Species,:LITTOX::::::TPPT::,
4178,30028287-2,Aquilegia canadensis,Aquilegia canadensis,30028287-2,Species,:LITTOX::::::::,
4179,16809-2,Aquilegia chrysantha,Aquilegia chrysantha,16809-2,Species,:LITTOX::::::::,
4180,708885-1,Aquilegia flabellata,Aquilegia flabellata,708885-1,Species,:LITTOX::::::::,
4181,16830-2,Aquilegia formosa,Aquilegia formosa,16830-2,Species,:LITTOX::::::::,
4182,708977-1,Aquilegia oxysepala,Aquilegia oxysepala,708977-1,Species,:LITTOX::::::::,
4183,20008196-1,Aquilegia pubiflora,Aquilegia pubiflora,20008196-1,Species,:LITTOX::::::::,
4184,277970-1,Arabidopsis thaliana,Arabidopsis thaliana,277970-1,Species,:LITTOX::::::::,
4185,30003907-2,Arachis,,,Genus,:LITTOX::::::::,
4186,30023289-2,Aralia,,,Genus,:LITTOX::::::::,
4187,89597-1,Aralia californica,Aralia californica,89597-1,Species,:LITTOX::::::::,
4188,89629-1,Aralia elata,Aralia elata,89629-1,Species,:LITTOX::::::TPPT::,
4189,77131172-1,Plerandra elegantissima,Plerandra elegantissima,77131172-1,Species,:LITTOX::::::::,
4190,89729-1,Aralia nudicaulis,Aralia nudicaulis,89729-1,Species,:LITTOX::::::::,
4191,89765-1,Aralia racemosa,Aralia racemosa,89765-1,Species,:LITTOX::::::::,
4192,30058753-2,Araucaria,,,Genus,:LITTOX::::::::,
4193,17518-2,Araucaria angustifolia,Araucaria angustifolia,17518-2,Species,:LITTOX::::::::,
4194,261681-1,Araucaria araucana,Araucaria araucana,261681-1,Species,:LITTOX::::::::,
4195,60455476-2,Araucaria cunninghamii,Araucaria cunninghamii,60455476-2,Species,:LITTOX::::::::,
4196,676669-1,Araucaria heterophylla,Araucaria heterophylla,676669-1,Species,:LITTOX::::::::,
4197,3207-1,Araujia,,,Genus,:LITTOX::::::::,
4198,30117279-2,Araujia sericifera,Araujia sericifera,30117279-2,Species,:LITTOX:::CPCS:::::,
4199,30008667-2,Arbutus,,,Genus,:LITTOX::::::::,
4200,326479-1,Arbutus menziesii,Arbutus menziesii,326479-1,Species,:LITTOX::::::::,
4201,326526-1,Arbutus unedo,Arbutus unedo,326526-1,Species,:LITTOX::::::::,
4202,26880-1,Arcangelisia,,,Genus,:LITTOX::::::::,
4203,331362-2,Arceuthobium,,,Genus,:LITTOX::::::::,
4204,547935-1,Arceuthobium minutissimum,Arceuthobium minutissimum,547935-1,Species,:LITTOX::::::::,
4205,837635-1,Angelica gmelinii,Angelica gmelinii,837635-1,Species,:LITTOX::::::::,
4206,330041-2,Arctium,,,Genus,:LITTOX::::::::,
4207,77072591-1,Arctium nemorosum,Arctium nemorosum,77072591-1,Species,:LITTOX::::::::,
4208,17712-2,Arctium tomentosum,Arctium tomentosum,17712-2,Species,:LITTOX::::::::,
4209,31612-1,Arctomecon,,,Genus,:LITTOX::::::::,
4210,838199-1,Arctopus echinatus,Arctopus echinatus,838199-1,Species,:LITTOX::::::::,
4211,1024084-2,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,1024084-2,Species,:LITTOX:::CPCS::USDA(Duke):::,
4212,331363-2,Arctostaphylos,,,Genus,:LITTOX::::::TPPT::,
4213,77228825-1,Arctostaphylos glandulosa subsp. glandulosa,Arctostaphylos glandulosa,17785-2,Subspecies,:LITTOX::::::::,
4214,17800-2,Arctostaphylos glauca,Arctostaphylos glauca,17800-2,Species,:LITTOX::::::::,
4215,60457666-2,Arctotheca,,,Genus,:LITTOX::::::::,
4216,7704-1,Arctotis,,,Genus,:LITTOX::::::::,
4217,200858-1,Cymbonotus lawsonianus,Cymbonotus lawsonianus,200858-1,Species,:LITTOX::::::::,
4218,178706-1,Arctotis stoechadifolia,Arctotis stoechadifolia,178706-1,Species,:LITTOX::::::::,
4219,77084041-1,Cymbonotus maidenii,Cymbonotus maidenii,77084041-1,Species,:LITTOX::::::::,
4220,327477-2,Ardisia,,,Genus,:LITTOX::::::::,
4221,586878-1,Ardisia cornudentata,Ardisia cornudentata,586878-1,Species,:LITTOX::::::::,
4222,586890-1,Ardisia crenata,Ardisia crenata,586890-1,Species,:LITTOX::::::::,
4223,18136-2,Ardisia escallonioides,Ardisia escallonioides,18136-2,Species,:LITTOX::::::::,
4224,587207-1,Ardisia macrocarpa,Ardisia macrocarpa,587207-1,Species,:LITTOX::::::::,
4225,587450-1,Ardisia primulifolia,Ardisia primulifolia,587450-1,Species,:LITTOX::::::::,
4226,587496-1,Ardisia quinquegona,Ardisia quinquegona,587496-1,Species,:LITTOX::::::::,
4227,31094-1,Areca,,,Genus,:LITTOX::::::::,
4228,664113-1,Areca concinna,Areca concinna,664113-1,Species,:LITTOX::::::::,
4229,664230-1,Areca triandra,Areca triandra,664230-1,Species,:LITTOX::::::::,
4230,664234-1,Areca vestiaria,Areca vestiaria,664234-1,Species,:LITTOX::::::::,
4231,246966-2,Syagrus romanzoffiana,Syagrus romanzoffiana,246966-2,Species,:LITTOX::::::::,
4232,329928-2,Arenaria,,,Genus,:LITTOX::::::::,
4233,303826-2,Arenaria serpyllifolia,Arenaria serpyllifolia,303826-2,Species,:LITTOX::::::::,
4234,331138-2,Arenga,,,Genus,:LITTOX::::::::,
